Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Franck Ribry             , 19    , 18    , 18    , 6     , 10    , 15    , 12    , 11    , 11  , 13  , 14  , 15  , 9   , 15  , 16  , 16  , 17  , 6   , 18  , 5   , 9   , 8   , 13  , 13  , 18  , 15  , 18  , 16  , 4   , 15  , 7   , 5   , 16  , 16  , 6   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (L), AM (RL)                     ", 28    , $54M    
 Arjen Robben              , 18    , 17    , 14    , 10    , 11    , 18    , 13    , 9     , 7   , 16  , 8   , 15  , 16  , 13  , 10  , 17  , 18  , 9   , 15  , 7   , 4   , 7   , 16  , 17  , 20  , 17  , 20  , 12  , 10  , 17  , 13  , 4   , 15  , 16  , 5   , 19  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (RL)                            , 27    , $54M    
 Bastian Schweinsteiger    , 12    , 15    , 19    , 10    , 19    , 12    , 18    , 13    , 11  , 15  , 16  , 19  , 15  , 12  , 13  , 12  , 10  , 11  , 15  , 13  , 19  , 17  , 12  , 13  , 13  , 12  , 16  , 12  , 9   , 15  , 10  , 11  , 17  , 15  , 15  , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M/AM (C)                       ", 26    , $49M    
 Philipp Lahm              , 16    , 17    , 9     , 8     , 14    , 15    , 19    , 7     , 12  , 19  , 13  , 20  , 11  , 12  , 19  , 13  , 11  , 15  , 14  , 10  , 17  , 16  , 7   , 12  , 14  , 7   , 14  , 4   , 13  , 11  , 8   , 11  , 13  , 12  , 19  , 16  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (RL)                          , 27    , $47M    
 Manuel Neuer              , 14    , 15    , 16    , 18    , 12    , 10    , 12    , 17    , 10  , 19  , 15  , 13  , 12  , 10  , 10  , 15  , 6   , 11  , 3   , 18  , 16  , 12  , -   , -   , -   , -   , 12  , 10  , -   , -   , -   , -   , -   , 3   , -   , 11  , 17   , 18   , 9    , 9    , 11   , 19   , 17   , 16   , 19   , 8    , 20   , GK                                 , 25    , $34M    
 Lukas Podolski            , 17    , 15    , 14    , 10    , 17    , 17    , 16    , 14    , 11  , 13  , 13  , 17  , 9   , 13  , 10  , 13  , 13  , 11  , 10  , 7   , 8   , 11  , 10  , 12  , 13  , 17  , 12  , 13  , 7   , 17  , 8   , 5   , 13  , 16  , 7   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (L), ST                         ", 26    , $25.5M  
 Thomas Mller             , 16    , 14    , 17    , 13    , 18    , 14    , 17    , 11    , 15  , 18  , 12  , 17  , 13  , 15  , 18  , 18  , 16  , 7   , 19  , 10  , 18  , 17  , 7   , 10  , 11  , 14  , 13  , 7   , 12  , 9   , 8   , 7   , 12  , 11  , 8   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RLC), ST                       ", 21    , $24.5M  
 Mario Gtze               , 17    , 18    , 14    , 8     , 13    , 13    , 12    , 8     , 11  , 16  , 11  , 12  , 8   , 17  , 17  , 14  , 18  , 7   , 17  , 7   , 15  , 14  , 12  , 13  , 17  , 9   , 18  , 12  , 10  , 9   , 4   , 5   , 17  , 11  , 7   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (RLC)                           , 19    , $21M    
 Mario G¢mez               , 15    , 10    , 13    , 15    , 15    , 17    , 15    , 17    , 13  , 16  , 17  , 14  , 19  , 8   , 10  , 16  , 8   , 11  , 18  , 8   , 7   , 13  , 5   , 9   , 11  , 18  , 8   , 7   , 15  , 12  , 5   , 4   , 8   , 13  , 7   , 9   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                                 , 25    , $19.75M 
 Holger Badstuber          , 9     , 8     , 14    , 15    , 17    , 15    , 16    , 13    , 10  , 15  , 12  , 14  , 16  , 11  , 17  , 14  , 4   , 8   , 5   , 17  , 18  , 9   , 14  , 13  , 5   , 5   , 11  , 14  , 10  , 7   , 14  , 15  , 13  , 11  , 15  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                              , 22    , $17M    
 Toni Kroos                , 11    , 13    , 8     , 9     , 12    , 13    , 12    , 10    , 7   , 13  , 8   , 15  , 9   , 17  , 16  , 8   , 11  , 9   , 8   , 11  , 15  , 8   , 16  , 18  , 13  , 14  , 19  , 15  , 6   , 17  , 6   , 6   , 18  , 14  , 10  , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (C), AM (LC)                     ", 21    , $16.25M 
 Jrme Boateng            , 13    , 12    , 16    , 17    , 10    , 18    , 13    , 17    , 8   , 14  , 9   , 17  , 7   , 15  , 13  , 9   , 11  , 10  , 6   , 12  , 13  , 5   , 8   , 16  , 11  , 4   , 14  , 6   , 9   , 8   , 18  , 12  , 13  , 7   , 12  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (RLC), WB (RL)                   ", 22    , $16.25M 
 Shinji Kagawa             , 18    , 20    , 10    , 7     , 12    , 13    , 12    , 6     , 12  , 14  , 9   , 13  , 8   , 8   , 13  , 13  , 15  , 5   , 17  , 6   , 10  , 15  , 10  , 9   , 17  , 14  , 18  , 11  , 12  , 13  , 4   , 6   , 13  , 11  , 7   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (RLC)                           , 22    , $16M    
 Ryan Babel                , 17    , 15    , 16    , 12    , 16    , 18    , 13    , 15    , 4   , 10  , 9   , 11  , 8   , 10  , 9   , 4   , 15  , 7   , 15  , 7   , 6   , 7   , 9   , 13  , 16  , 15  , 12  , 7   , 8   , 15  , 5   , 5   , 14  , 13  , 6   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (LC), ST                        ", 24    , $16M    
 Klaas-Jan Huntelaar       , 11    , 14    , 16    , 14    , 16    , 11    , 15    , 13    , 7   , 19  , 11  , 18  , 19  , 8   , 18  , 16  , 9   , 7   , 20  , 5   , 6   , 7   , 6   , 8   , 9   , 20  , 17  , 13  , 16  , 14  , 3   , 4   , 10  , 18  , 5   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                                 , 27    , $15.75M 
 Chinedu Obasi             , 17    , 17    , 7     , 12    , 3     , 16    , 10    , 11    , 9   , 14  , 6   , 12  , 10  , 15  , 14  , 7   , 18  , 5   , 13  , 6   , 12  , 17  , 8   , 15  , 17  , 8   , 17  , 7   , 9   , 11  , 6   , 5   , 14  , 12  , 13  , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST                         ", 25    , $14.75M 
 Rafinha                   , 16    , 17    , 8     , 6     , 15    , 15    , 16    , 6     , 17  , 17  , 15  , 13  , 10  , 14  , 17  , 18  , 13  , 6   , 15  , 12  , 10  , 17  , 10  , 13  , 14  , 9   , 14  , 8   , 7   , 11  , 3   , 12  , 14  , 17  , 15  , 16  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (R)                           , 25    , $14.5M  
 Lucas Barrios             , 16    , 17    , 10    , 14    , 16    , 14    , 13    , 11    , 10  , 17  , 10  , 17  , 17  , 10  , 13  , 16  , 13  , 9   , 18  , 5   , 10  , 14  , 5   , 7   , 12  , 16  , 14  , 9   , 16  , 10  , 2   , 3   , 12  , 10  , 6   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                                 , 26    , $14M    
 Mats Hummels              , 10    , 12    , 14    , 16    , 15    , 12    , 13    , 15    , 12  , 17  , 13  , 18  , 16  , 12  , 14  , 15  , 9   , 14  , 12  , 15  , 17  , 14  , 3   , 7   , 8   , 10  , 13  , 9   , 15  , 6   , 11  , 17  , 12  , 8   , 17  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (C), DM                          ", 22    , $13.75M 
 Luiz Gustavo              , 14    , 13    , 16    , 12    , 14    , 17    , 17    , 13    , 16  , 17  , 18  , 8   , 10  , 9   , 12  , 16  , 8   , 10  , 8   , 13  , 17  , 18  , 8   , 11  , 9   , 5   , 12  , 5   , 8   , 10  , 12  , 18  , 13  , 6   , 18  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                          ", 23    , $13.75M 
 Jos Paolo Guerrero       , 10    , 15    , 19    , 13    , 8     , 14    , 12    , 11    , 14  , 17  , 13  , 8   , 6   , 16  , 15  , 9   , 13  , 5   , 15  , 7   , 10  , 9   , 9   , 14  , 15  , 12  , 19  , 9   , 16  , 11  , 5   , 6   , 15  , 13  , 9   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (C), ST                         ", 27    , $13M    
 Benedikt Hwedes          , 12    , 10    , 13    , 16    , 13    , 15    , 16    , 14    , 17  , 13  , 18  , 11  , 18  , 7   , 10  , 17  , 3   , 14  , 7   , 14  , 18  , 17  , 3   , 8   , 4   , 9   , 10  , 3   , 17  , 4   , 13  , 16  , 8   , 7   , 17  , 9   , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                              , 23    , $12.75M 
 Andr Schrrle            , 18    , 16    , 12    , 11    , 13    , 17    , 18    , 9     , 18  , 12  , 9   , 10  , 12  , 13  , 11  , 18  , 10  , 7   , 14  , 10  , 15  , 19  , 9   , 9   , 14  , 15  , 9   , 10  , 7   , 15  , 5   , 6   , 11  , 14  , 8   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (LC), ST                        ", 20    , $12.5M  
 Renato Augusto            , 16    , 15    , 8     , 12    , 8     , 16    , 13    , 12    , 13  , 14  , 9   , 11  , 9   , 16  , 10  , 10  , 16  , 10  , 12  , 8   , 9   , 14  , 10  , 12  , 17  , 11  , 17  , 11  , 6   , 13  , 5   , 8   , 14  , 12  , 9   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (R), AM (RLC)                    ", 23    , $12.25M 
 Marko Arnautovic          , 14    , 13    , 18    , 14    , 12    , 17    , 11    , 15    , 14  , 8   , 15  , 6   , 6   , 14  , 7   , 5   , 18  , 4   , 9   , 6   , 3   , 11  , 8   , 15  , 16  , 10  , 18  , 14  , 9   , 12  , 5   , 3   , 13  , 10  , 6   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST                         ", 22    , $12.25M 
 Naldo                     , 15    , 10    , 14    , 20    , 19    , 17    , 13    , 15    , 9   , 18  , 9   , 12  , 9   , 12  , 16  , 15  , 14  , 11  , 12  , 10  , 14  , 16  , 7   , 9   , 12  , 8   , 12  , 14  , 17  , 15  , 15  , 14  , 13  , 12  , 17  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                              , 28    , $12M    
 Jefferson Farf n          , 15    , 13    , 18    , 7     , 10    , 18    , 16    , 14    , 12  , 9   , 14  , 15  , 8   , 14  , 12  , 8   , 16  , 4   , 10  , 7   , 18  , 15  , 10  , 16  , 15  , 12  , 15  , 16  , 10  , 9   , 5   , 5   , 13  , 17  , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST                         ", 26    , $11.75M 
 Papiss Ciss              , 13    , 16    , 17    , 14    , 16    , 15    , 12    , 13    , 9   , 18  , 11  , 15  , 14  , 9   , 16  , 14  , 11  , 6   , 17  , 7   , 15  , 13  , 5   , 8   , 10  , 17  , 17  , 7   , 13  , 11  , 3   , 4   , 13  , 12  , 5   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                                 , 26    , $11.5M  
 Lewis Holtby              , 14    , 16    , 12    , 6     , 11    , 13    , 14    , 8     , 9   , 14  , 8   , 10  , 7   , 17  , 11  , 13  , 15  , 10  , 13  , 6   , 8   , 14  , 13  , 12  , 14  , 11  , 17  , 11  , 7   , 12  , 5   , 6   , 17  , 10  , 7   , 16  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (C), AM (LC)                     ", 20    , $11.5M  
 Neven Subotic             , 9     , 10    , 15    , 17    , 17    , 14    , 13    , 17    , 13  , 15  , 16  , 12  , 8   , 12  , 12  , 14  , 8   , 12  , 9   , 14  , 15  , 9   , 3   , 4   , 8   , 11  , 12  , 11  , 17  , 12  , 11  , 16  , 11  , 11  , 16  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                              , 22    , $11.25M 
