Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Erwin Hoffer            , 15    , 15    , 11    , 8     , 12    , 15    , 13    , 11    , 5   , 13  , 13  , 13  , 12  , 11  , 11  , 14  , 11  , 5   , 13  , 8   , 14  , 15  , 6   , 9   , 14  , 13  , 11  , 8   , 10  , 11  , 4   , 6   , 11  , 8   , 7   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                          , 24    , $5.5M 
 Kevin Volland           , 15    , 14    , 12    , 10    , 11    , 14    , 13    , 11    , 10  , 10  , 11  , 12  , 10  , 9   , 11  , 16  , 12  , 6   , 14  , 6   , 11  , 8   , 6   , 11  , 12  , 13  , 14  , 5   , 13  , 6   , 3   , 4   , 11  , 9   , 5   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST                 ", 18    , $4.9M 
 Alexander Meier         , 14    , 13    , 12    , 14    , 14    , 13    , 13    , 14    , 10  , 14  , 12  , 13  , 12  , 13  , 13  , 12  , 12  , 12  , 14  , 11  , 14  , 14  , 11  , 13  , 9   , 14  , 12  , 8   , 12  , 12  , 9   , 6   , 13  , 13  , 11  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (C)                      , 28    , $4.1M 
 Maximilian Beister      , 16    , 15    , 12    , 10    , 12    , 13    , 14    , 12    , 13  , 10  , 12  , 12  , 11  , 8   , 12  , 13  , 14  , 5   , 13  , 5   , 11  , 11  , 5   , 11  , 13  , 13  , 12  , 6   , 5   , 11  , 4   , 4   , 8   , 6   , 5   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M/AM (RL), ST               ", 20    , $4M   
 Benjamin Lauth          , 14    , 13    , 12    , 11    , 13    , 13    , 14    , 9     , 11  , 13  , 11  , 13  , 10  , 11  , 12  , 12  , 15  , 12  , 14  , 4   , 13  , 14  , 16  , 10  , 12  , 14  , 14  , 11  , 13  , 13  , 3   , 2   , 11  , 15  , 5   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                          , 29    , $3.7M 
 Dimitar Rangelov        , 12    , 13    , 13    , 11    , 11    , 13    , 13    , 13    , 14  , 12  , 14  , 10  , 12  , 8   , 13  , 15  , 10  , 6   , 14  , 8   , 11  , 15  , 8   , 10  , 13  , 12  , 12  , 14  , 13  , 11  , 7   , 5   , 12  , 11  , 7   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                          , 28    , $3.7M 
 Marco Stiepermann       , 11    , 9     , 12    , 13    , 13    , 13    , 14    , 11    , 8   , 9   , 9   , 8   , 11  , 11  , 11  , 10  , 10  , 9   , 14  , 5   , 13  , 14  , 8   , 12  , 13  , 11  , 12  , 8   , 7   , 9   , 6   , 5   , 11  , 8   , 6   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RL), AM (RLC), ST        ", 20    , $3.5M 
 Zlatko Dedic            , 15    , 15    , 12    , 10    , 12    , 14    , 17    , 11    , 11  , 10  , 9   , 9   , 11  , 10  , 11  , 15  , 15  , 10  , 15  , 10  , 14  , 14  , 7   , 6   , 14  , 13  , 8   , 9   , 9   , 15  , 4   , 5   , 11  , 10  , 7   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST                 ", 26    , $3.5M 
 Daniel Ginczek          , 10    , 10    , 13    , 14    , 10    , 14    , 13    , 13    , 8   , 12  , 12  , 13  , 11  , 8   , 11  , 12  , 9   , 6   , 13  , 7   , 10  , 13  , 3   , 6   , 9   , 13  , 12  , 7   , 12  , 7   , 6   , 4   , 9   , 8   , 5   , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                          , 20    , $3.2M 
 Sebastian Jung          , 15    , 13    , 12    , 9     , 12    , 15    , 13    , 11    , 9   , 12  , 12  , 12  , 13  , 14  , 12  , 11  , 8   , 8   , 14  , 13  , 14  , 15  , 7   , 14  , 11  , 11  , 12  , 8   , 10  , 11  , 8   , 13  , 12  , 9   , 12  , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (R)                       , 20    , $3.2M 
