Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Matt Mills           , 12    , 8     , 10    , 16    , 14    , 13    , 14    , 16    , 15  , 10  , 13  , 9   , 7   , 11  , 11  , 17  , 6   , 17  , 11  , 13  , 14  , 14  , 7   , 5   , 8   , 6   , 10  , 6   , 15  , 9   , 8   , 14  , 9   , 6   , 14  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 24    , $7.25M
 Carlton Cole         , 14    , 12    , 13    , 15    , 17    , 14    , 16    , 16    , 10  , 13  , 11  , 14  , 11  , 11  , 12  , 16  , 12  , 6   , 11  , 9   , 13  , 8   , 3   , 11  , 12  , 12  , 15  , 5   , 13  , 12  , 4   , 9   , 12  , 10  , 8   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 27    , $6M   
 Gelson Fernandes     , 14    , 14    , 14    , 11    , 16    , 13    , 18    , 13    , 13  , 13  , 15  , 13  , 13  , 9   , 13  , 15  , 7   , 14  , 8   , 15  , 18  , 17  , 7   , 8   , 8   , 7   , 12  , 8   , 10  , 9   , 12  , 12  , 12  , 7   , 15  , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)              ", 24    , $5M   
 Jack Collison        , 13    , 9     , 14    , 12    , 16    , 13    , 15    , 14    , 15  , 10  , 13  , 11  , 13  , 13  , 12  , 17  , 8   , 14  , 13  , 14  , 15  , 17  , 8   , 11  , 14  , 11  , 15  , 7   , 6   , 11  , 3   , 12  , 14  , 10  , 13  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (RLC)                , 22    , $4.9M 
 Jermaine Beckford    , 17    , 12    , 13    , 12    , 13    , 16    , 13    , 13    , 11  , 10  , 7   , 12  , 7   , 10  , 13  , 14  , 15  , 10  , 14  , 9   , 8   , 11  , 4   , 7   , 14  , 14  , 8   , 5   , 12  , 13  , 4   , 4   , 9   , 16  , 5   , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 27    , $4.8M 
 Henri Lansbury       , 13    , 13    , 12    , 8     , 11    , 16    , 12    , 9     , 13  , 11  , 9   , 10  , 10  , 13  , 11  , 14  , 14  , 6   , 14  , 8   , 11  , 11  , 12  , 14  , 15  , 14  , 15  , 11  , 6   , 13  , 4   , 6   , 13  , 6   , 11  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (RLC)                , 20    , $4.6M 
 Kevin Nolan          , 7     , 11    , 20    , 14    , 8     , 11    , 11    , 17    , 15  , 18  , 18  , 17  , 11  , 11  , 17  , 18  , 8   , 19  , 14  , 11  , 18  , 8   , 8   , 13  , 11  , 15  , 13  , 13  , 17  , 12  , 13  , 10  , 12  , 10  , 11  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)               , 29    , $4.5M 
 Mark Noble           , 12    , 12    , 15    , 8     , 15    , 13    , 15    , 12    , 14  , 11  , 14  , 16  , 11  , 13  , 10  , 15  , 13  , 8   , 13  , 12  , 15  , 16  , 14  , 13  , 14  , 8   , 15  , 14  , 10  , 10  , 6   , 8   , 15  , 18  , 11  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                  , 24    , $4.5M 
 Erik Huseklepp       , 16    , 16    , 5     , 10    , 11    , 15    , 12    , 10    , 7   , 14  , 10  , 13  , 12  , 12  , 12  , 12  , 18  , 2   , 13  , 6   , 11  , 12  , 12  , 13  , 16  , 10  , 15  , 13  , 4   , 9   , 5   , 2   , 13  , 9   , 2   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (R), AM (RL), ST     ", 26    , $4.4M 
 David Bentley        , 12    , 15    , 14    , 8     , 12    , 13    , 15    , 13    , 10  , 12  , 11  , 14  , 13  , 15  , 12  , 13  , 15  , 9   , 14  , 8   , 13  , 10  , 14  , 14  , 11  , 12  , 15  , 16  , 7   , 14  , 2   , 6   , 14  , 14  , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (R)               , 26    , $4.2M 
 Jay Rodriguez        , 14    , 10    , 10    , 14    , 13    , 15    , 12    , 12    , 13  , 12  , 9   , 16  , 11  , 10  , 13  , 16  , 7   , 4   , 13  , 13  , 14  , 16  , 3   , 4   , 10  , 15  , 10  , 6   , 12  , 13  , 2   , 2   , 11  , 11  , 6   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 21    , $3.9M 
 Danny Pugh           , 12    , 13    , 12    , 9     , 14    , 12    , 13    , 8     , 8   , 13  , 13  , 13  , 11  , 12  , 12  , 16  , 12  , 8   , 13  , 12  , 16  , 17  , 8   , 13  , 11  , 10  , 13  , 9   , 7   , 10  , 7   , 11  , 12  , 5   , 11  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (L), M (LC)          ", 28    , $3.7M 
 Craig Mackail-Smith  , 16    , 10    , 9     , 7     , 14    , 16    , 15    , 11    , 12  , 12  , 11  , 9   , 6   , 7   , 5   , 19  , 8   , 4   , 15  , 10  , 18  , 18  , 2   , 7   , 11  , 11  , 11  , 1   , 9   , 2   , 1   , 1   , 8   , 11  , 3   , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 27    , $3.6M 
