Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Fernando Torres       ,16,16,15,13,14,17,15,13,14,13,15,13,14,15,13,18,16,13,12,10,13,15, 8   , 12  , 16  , 17  ,15,9, 15  , 15  , 6   , 5   , 13  ,15, 10  ,16, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,27, $80M    
 Sergio Agero         ,18,19,13,7,12,15,13,10,10,17,14,16,13,16,16,15,19,13,18,7,10,12, 7   , 14  , 18  , 15  ,17,15, 10  , 15  , 3   , 5   , 17  ,17, 6   ,18, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (C), ST               ",23, $62M    
 Andy Carroll          ,9,9,16,18,11,14,13,18,15,16,18,13,14,10,12,16,10,10,16,12,15,16, 4   , 12  , 11  , 14  ,16,7, 17  , 9   , 6   , 8   , 12  ,13, 8   ,12, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,22, $56M    
 Edin Dzeko            ,12,13,17,18,12,13,13,16,8,16,15,12,11,14,12,13,13,10,14,6,16,9, 6   , 10  , 13  , 16  ,18,7, 17  , 14  , 2   , 4   , 13  ,16, 4   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,25, $51M    
 Wayne Rooney          ,16,14,17,11,17,15,18,16,17,16,19,14,16,16,15,19,16,14,17,8,18,19, 10  , 15  , 12  , 16  ,16,12, 15  , 13  , 5   , 5   , 16  ,16, 8   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,25, $50M    
 Robin van Persie      ,13,17,15,13,10,14,14,13,16,16,13,14,13,17,11,14,16,12,15,8,12,12, 17  , 15  , 15  , 16  ,19,17, 13  , 16  , 11  , 8   , 15  ,17, 7   ,18, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST               ",27, $44M    
 Samir Nasri           ,15,18,18,8,15,14,15,9,12,14,12,15,12,15,15,16,17,10,16,8,13,13, 12  , 12  , 17  , 15  ,17,15, 5   , 13  , 2   , 6   , 15  ,12, 9   ,17, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RLC)               ,24, $40.5M  
 Carlos Tevez          ,14,17,18,6,16,13,18,17,15,17,20,17,16,15,13,19,16,15,17,11,15,20, 8   , 14  , 16  , 15  ,16,15, 10  , 14  , 5   , 7   , 14  ,18, 11  ,16, -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                       ,27, $40M    
 Petr Cech             ,9,16,15,19,17,9,14,12,5,16,14,14,19,8,13,13,5,8,7,16,13,15, -   , -   , -   , -   ,13,10, -   , -   , -   , -   , -   ,3, -   ,13, 15   , 12   , 14   , 3    , 18   , 18   , 17   , 17   , 14   , 7    , 12   , GK                       ,29, $39M    
 Jos Manuel Reina     ,14,15,12,17,12,15,15,14,13,13,14,15,15,11,14,15,5,15,3,18,1,10, -   , -   , -   , -   ,12,10, -   , -   , -   , -   , -   ,3, -   ,7, 14   , 13   , 14   , 5    , 16   , 15   , 15   , 18   , 16   , 13   , 15   , GK                       ,28, $37.5M  
