Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Thiago                  , 13    , 14    , 9     , 6     , 13    , 13    , 14    , 9     , 7   , 15  , 9   , 15  , 12  , 16  , 14  , 13  , 18  , 8   , 15  , 7   , 11  , 12  , 13  , 13  , 17  , 13  , 15  , 9   , 7   , 14  , 6   , 7   , 17  , 13  , 7   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)            , 20    , $13.25M 
 Kiko Femenia            , 17    , 13    , 11    , 9     , 17    , 16    , 12    , 7     , 9   , 11  , 15  , 10  , 11  , 13  , 10  , 13  , 13  , 9   , 13  , 11  , 14  , 12  , 10  , 12  , 14  , 11  , 12  , 10  , 7   , 10  , 14  , 8   , 13  , 11  , 10  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (R)            , 20    , $7M     
 Fabi n Orellana         , 16    , 15    , 9     , 5     , 14    , 15    , 12    , 8     , 8   , 11  , 8   , 11  , 11  , 13  , 12  , 14  , 16  , 8   , 15  , 9   , 14  , 12  , 14  , 13  , 14  , 11  , 14  , 12  , 5   , 8   , 4   , 4   , 14  , 14  , 5   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST         ", 25    , $5.75M  
 Sergi Roberto           , 12    , 14    , 13    , 12    , 13    , 13    , 13    , 11    , 12  , 14  , 10  , 12  , 14  , 14  , 13  , 8   , 11  , 13  , 13  , 12  , 13  , 13  , 7   , 9   , 9   , 9   , 10  , 8   , 10  , 10  , 7   , 7   , 12  , 8   , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)            , 19    , $4M     
 Carlos Calvo            , 15    , 14    , 8     , 6     , 9     , 14    , 12    , 9     , 11  , 9   , 10  , 9   , 13  , 12  , 11  , 10  , 14  , 5   , 15  , 12  , 12  , 13  , 8   , 11  , 12  , 10  , 11  , 12  , 4   , 12  , 5   , 4   , 12  , 8   , 5   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RL)           , 25    , $3.9M   
 Xisco                   , 12    , 9     , 14    , 13    , 14    , 14    , 14    , 12    , 12  , 14  , 13  , 14  , 7   , 11  , 12  , 9   , 11  , 6   , 14  , 9   , 11  , 9   , 6   , 9   , 12  , 12  , 13  , 4   , 15  , 10  , 10  , 5   , 13  , 12  , 6   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                  , 25    , $3.9M   
 Hern n Bernardello      , 14    , 15    , 15    , 8     , 15    , 15    , 17    , 13    , 17  , 14  , 18  , 14  , 13  , 11  , 13  , 14  , 6   , 12  , 4   , 16  , 17  , 18  , 8   , 10  , 11  , 4   , 11  , 7   , 6   , 12  , 5   , 14  , 12  , 11  , 16  , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)           ", 24    , $3.6M   
 Henok Goitom            , 12    , 12    , 15    , 15    , 14    , 13    , 12    , 14    , 10  , 13  , 13  , 10  , 8   , 11  , 10  , 13  , 17  , 10  , 14  , 6   , 13  , 12  , 5   , 8   , 13  , 13  , 14  , 5   , 12  , 13  , 8   , 5   , 12  , 15  , 6   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                  , 26    , $3.5M   
 Abel Aguilar            , 9     , 10    , 16    , 13    , 12    , 11    , 14    , 15    , 16  , 13  , 15  , 14  , 11  , 14  , 14  , 16  , 11  , 8   , 16  , 14  , 16  , 15  , 10  , 10  , 10  , 15  , 14  , 10  , 16  , 13  , 10  , 11  , 14  , 11  , 12  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M/AM (C)        ", 26    , $3.2M   
 Andrs Guardado         , 15    , 15    , 8     , 6     , 8     , 16    , 14    , 7     , 12  , 12  , 13  , 13  , 12  , 13  , 11  , 17  , 14  , 7   , 15  , 10  , 14  , 16  , 12  , 13  , 13  , 10  , 14  , 7   , 6   , 15  , 10  , 11  , 13  , 16  , 10  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , WB/M/AM (L)         , 24    , $3M     
