Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Lionel Messi            , 18    , 20    , 16    , 5     , 15    , 16    , 15    , 8     , 7   , 17  , 13  , 16  , 16  , 17  , 17  , 19  , 20  , 12  , 16  , 6   , 11  , 12  , 11  , 14  , 20  , 19  , 17  , 14  , 9   , 16  , 5   , 6   , 17  , 18  , 7   , 20  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RL), AM (RLC), ST       ", 24    , $58M    
 Cristiano Ronaldo       , 16    , 16    , 18    , 14    , 17    , 19    , 16    , 15    , 9   , 17  , 13  , 14  , 13  , 13  , 15  , 19  , 20  , 11  , 17  , 5   , 6   , 7   , 11  , 13  , 19  , 17  , 18  , 17  , 16  , 17  , 7   , 3   , 15  , 18  , 6   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST                ", 26    , $57M    
 Andrs Iniesta          , 14    , 18    , 12    , 6     , 15    , 12    , 14    , 7     , 5   , 18  , 12  , 19  , 17  , 20  , 17  , 15  , 19  , 11  , 18  , 12  , 17  , 13  , 15  , 15  , 19  , 12  , 19  , 14  , 5   , 13  , 5   , 7   , 20  , 13  , 10  , 20  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (C), AM (LC)             ", 27    , $57M    
 Cesc Fbregas           , 12    , 15    , 17    , 9     , 13    , 11    , 16    , 11    , 12  , 18  , 16  , 18  , 15  , 19  , 17  , 20  , 14  , 14  , 18  , 12  , 17  , 16  , 13  , 10  , 14  , 15  , 17  , 13  , 8   , 12  , 5   , 10  , 19  , 13  , 12  , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)                   , 24    , $55M    
 Iker Casillas           , 15    , 19    , 13    , 12    , 15    , 13    , 13    , 14    , 6   , 15  , 13  , 18  , 17  , 8   , 15  , 19  , 3   , 16  , 2   , 15  , 16  , 12  , -   , -   , -   , -   , 7   , 10  , -   , -   , -   , -   , -   , 2   , -   , 9   , 12   , 14   , 15   , 5    , 16   , 11   , 17   , 20   , 16   , 13   , 17   , GK                         , 30    , $48.5M  
 Daniel Alves            , 17    , 16    , 12    , 6     , 18    , 18    , 20    , 14    , 13  , 13  , 15  , 14  , 14  , 16  , 14  , 16  , 15  , 14  , 16  , 13  , 15  , 18  , 14  , 12  , 15  , 11  , 15  , 14  , 9   , 12  , 15  , 12  , 15  , 13  , 13  , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M (R)                 , 28    , $47M    
 David Villa             , 15    , 18    , 11    , 9     , 13    , 15    , 15    , 10    , 12  , 17  , 13  , 14  , 13  , 15  , 16  , 16  , 17  , 13  , 19  , 7   , 12  , 15  , 13  , 13  , 16  , 17  , 16  , 16  , 12  , 15  , 7   , 5   , 15  , 19  , 8   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (L), ST                 ", 29    , $45.5M  
 Xavi                    , 11    , 16    , 13    , 6     , 14    , 13    , 17    , 8     , 8   , 19  , 10  , 19  , 19  , 20  , 19  , 16  , 17  , 17  , 18  , 15  , 18  , 17  , 18  , 15  , 17  , 12  , 20  , 17  , 6   , 14  , 5   , 12  , 20  , 14  , 9   , 19  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M (C)                      , 31    , $43.5M  
 Mesut zil              , 18    , 17    , 11    , 9     , 10    , 16    , 11    , 9     , 5   , 17  , 7   , 13  , 14  , 18  , 18  , 6   , 17  , 5   , 19  , 6   , 17  , 8   , 14  , 15  , 17  , 10  , 18  , 12  , 5   , 11  , 6   , 4   , 19  , 13  , 5   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (LC)                  , 22    , $41.5M  
 Gonzalo Higua¡n         , 13    , 15    , 14    , 12    , 13    , 16    , 15    , 13    , 10  , 17  , 13  , 18  , 12  , 13  , 14  , 16  , 15  , 11  , 18  , 8   , 13  , 13  , 8   , 12  , 15  , 18  , 15  , 10  , 13  , 14  , 7   , 4   , 13  , 14  , 6   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                         , 23    , $40.5M  
 Javier Mascherano       , 14    , 13    , 15    , 8     , 14    , 15    , 19    , 16    , 18  , 18  , 20  , 18  , 17  , 12  , 16  , 19  , 8   , 16  , 10  , 19  , 18  , 18  , 7   , 8   , 10  , 6   , 15  , 5   , 8   , 7   , 4   , 18  , 13  , 10  , 20  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                  ", 27    , $39.5M  
 Gerard Piqu            , 11    , 11    , 18    , 16    , 15    , 15    , 17    , 16    , 14  , 16  , 14  , 15  , 17  , 14  , 15  , 16  , 9   , 16  , 9   , 18  , 15  , 16  , 8   , 8   , 9   , 8   , 15  , 7   , 16  , 7   , 8   , 19  , 16  , 11  , 16  , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                      , 24    , $39M    
 Kak                     , 14    , 13    , 15    , 12    , 13    , 16    , 13    , 11    , 8   , 15  , 11  , 16  , 10  , 17  , 16  , 15  , 18  , 13  , 17  , 7   , 13  , 9   , 12  , 13  , 17  , 15  , 18  , 12  , 10  , 13  , 7   , 5   , 17  , 17  , 8   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (C)                     , 29    , $38.5M  
 Karim Benzema           , 13    , 14    , 14    , 11    , 14    , 16    , 15    , 14    , 6   , 14  , 11  , 18  , 13  , 13  , 14  , 11  , 16  , 8   , 17  , 7   , 13  , 7   , 9   , 11  , 16  , 16  , 17  , 14  , 13  , 14  , 8   , 4   , 13  , 12  , 6   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                         , 23    , $37M    
 Sergio Busquets         , 13    , 13    , 15    , 14    , 14    , 14    , 17    , 13    , 14  , 18  , 13  , 18  , 14  , 14  , 17  , 12  , 8   , 9   , 12  , 19  , 18  , 17  , 9   , 12  , 13  , 9   , 17  , 9   , 13  , 11  , 8   , 16  , 15  , 10  , 14  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                  ", 22    , $32.5M  
 Marcelo                 , 18    , 17    , 12    , 8     , 15    , 16    , 15    , 10    , 17  , 12  , 14  , 11  , 10  , 16  , 13  , 13  , 17  , 10  , 17  , 11  , 14  , 13  , 12  , 16  , 16  , 12  , 17  , 11  , 8   , 13  , 12  , 9   , 16  , 12  , 14  , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB/M (L)                 , 23    , $31.5M  
 V¡ctor Valds           , 14    , 18    , 14    , 13    , 13    , 12    , 16    , 12    , 11  , 14  , 14  , 19  , 15  , 12  , 14  , 18  , 14  , 14  , 2   , 16  , 14  , 14  , -   , -   , -   , -   , 4   , 10  , -   , -   , -   , -   , -   , 3   , -   , 8   , 13   , 13   , 14   , 13   , 15   , 12   , 18   , 18   , 17   , 13   , 15   , GK                         , 29    , $31.5M  
 Angel Di Mar¡a          , 15    , 16    , 10    , 11    , 14    , 17    , 13    , 11    , 9   , 13  , 12  , 14  , 10  , 15  , 12  , 13  , 18  , 8   , 15  , 7   , 13  , 12  , 15  , 16  , 17  , 12  , 15  , 15  , 11  , 15  , 8   , 5   , 14  , 15  , 7   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (L), AM (RL)             ", 23    , $31M    
 Giuseppe Rossi          , 16    , 17    , 11    , 8     , 12    , 13    , 13    , 9     , 8   , 16  , 9   , 18  , 12  , 17  , 15  , 16  , 18  , 10  , 18  , 8   , 11  , 10  , 15  , 14  , 17  , 16  , 18  , 14  , 10  , 15  , 6   , 5   , 16  , 18  , 8   , 19  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (C), ST                 ", 24    , $30.5M  
 Sergio Ramos            , 13    , 15    , 14    , 13    , 16    , 15    , 17    , 12    , 16  , 15  , 17  , 10  , 13  , 12  , 10  , 16  , 13  , 12  , 13  , 15  , 15  , 16  , 10  , 15  , 13  , 11  , 15  , 13  , 17  , 13  , 16  , 15  , 13  , 10  , 17  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," D (RC), WB (R)             ", 25    , $30.5M  
 Xabi Alonso             , 10    , 11    , 14    , 11    , 13    , 12    , 17    , 12    , 12  , 17  , 14  , 15  , 18  , 17  , 17  , 18  , 12  , 14  , 11  , 19  , 18  , 15  , 13  , 15  , 12  , 11  , 16  , 14  , 12  , 18  , 9   , 10  , 18  , 13  , 12  , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)                  ", 29    , $29.5M  
 Pepe                    , 15    , 12    , 17    , 14    , 18    , 17    , 16    , 13    , 20  , 16  , 17  , 12  , 17  , 10  , 13  , 15  , 11  , 9   , 11  , 15  , 15  , 17  , 7   , 7   , 12  , 10  , 11  , 10  , 16  , 12  , 10  , 17  , 12  , 8   , 17  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                      , 28    , $29.5M  
 Diego                   , 15    , 18    , 17    , 8     , 10    , 13    , 14    , 12    , 12  , 10  , 9   , 11  , 7   , 15  , 10  , 11  , 20  , 4   , 13  , 6   , 3   , 12  , 14  , 16  , 19  , 18  , 19  , 17  , 7   , 16  , 4   , 5   , 18  , 13  , 9   , 19  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (C)                     , 26    , $29M    
 Falcao                  , 15    , 15    , 17    , 12    , 14    , 15    , 17    , 15    , 14  , 16  , 17  , 17  , 16  , 13  , 17  , 18  , 14  , 14  , 15  , 8   , 9   , 14  , 10  , 13  , 14  , 18  , 14  , 11  , 18  , 12  , 4   , 8   , 13  , 14  , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                         , 25    , $28M    
 Pedro                   , 16    , 15    , 9     , 6     , 14    , 15    , 13    , 7     , 8   , 14  , 14  , 15  , 13  , 14  , 14  , 16  , 17  , 8   , 16  , 6   , 17  , 16  , 11  , 14  , 15  , 15  , 13  , 9   , 9   , 13  , 5   , 5   , 14  , 11  , 8   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (RL)                  , 23    , $27M    
