Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Hugo Lloris                     , 14    , 16    , 15    , 14    , 15    , 13    , 15    , 13    , 10  , 14  , 17  , 15  , 15  , 11  , 14  , 15  , 6   , 12  , 1   , 15  , 14  , 12  , -   , -   , -   , -   , 8   , 10  , -   , -   , -   , -   , -   , 1   , -   , 8   , 16   , 15   , 12   , 7    , 17   , 12   , 14   , 18   , 16   , 12   , 12   , GK                  , 24    , $21M    
 Lisandro L¢pez                  , 16    , 15    , 14    , 9     , 15    , 14    , 17    , 14    , 14  , 14  , 18  , 16  , 13  , 13  , 13  , 18  , 14  , 15  , 17  , 10  , 15  , 17  , 10  , 13  , 15  , 16  , 16  , 13  , 13  , 14  , 5   , 5   , 13  , 15  , 7   , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                  , 28    , $17.5M  
 Javier Pastore                  , 15    , 15    , 13    , 14    , 14    , 14    , 15    , 13    , 9   , 12  , 17  , 12  , 11  , 15  , 15  , 18  , 20  , 10  , 15  , 6   , 16  , 8   , 14  , 14  , 18  , 13  , 18  , 12  , 10  , 15  , 4   , 6   , 15  , 14  , 7   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (C)              , 22    , $17M    
 Eden Hazard                     , 18    , 16    , 13    , 6     , 16    , 15    , 14    , 12    , 8   , 12  , 9   , 13  , 13  , 15  , 13  , 10  , 15  , 6   , 14  , 7   , 11  , 12  , 14  , 13  , 18  , 10  , 18  , 13  , 7   , 13  , 5   , 3   , 16  , 13  , 3   , 18  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (C), AM (LC)      ", 20    , $12M    
 Andr Ayew                      , 16    , 15    , 15    , 9     , 15    , 16    , 17    , 13    , 14  , 13  , 15  , 13  , 13  , 13  , 14  , 16  , 13  , 13  , 13  , 12  , 16  , 18  , 11  , 13  , 15  , 11  , 14  , 8   , 14  , 12  , 5   , 6   , 13  , 15  , 13  , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (LC), AM (L)      ", 21    , $11.75M 
 Kevin Gameiro                   , 17    , 15    , 12    , 7     , 16    , 16    , 14    , 9     , 6   , 15  , 11  , 14  , 13  , 13  , 13  , 16  , 13  , 9   , 17  , 7   , 11  , 14  , 11  , 12  , 13  , 17  , 14  , 8   , 11  , 13  , 5   , 2   , 13  , 15  , 4   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                  , 24    , $10.5M  
 Mamadou Sakho                   , 13    , 12    , 18    , 14    , 15    , 11    , 16    , 18    , 13  , 14  , 17  , 16  , 12  , 8   , 13  , 16  , 11  , 17  , 8   , 14  , 14  , 15  , 4   , 7   , 8   , 7   , 11  , 6   , 16  , 8   , 10  , 17  , 9   , 7   , 15  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)               , 21    , $10.25M 
 Moussa Sissoko                  , 16    , 13    , 16    , 14    , 15    , 13    , 17    , 16    , 11  , 15  , 14  , 14  , 14  , 14  , 12  , 17  , 11  , 10  , 12  , 12  , 12  , 16  , 6   , 9   , 13  , 11  , 14  , 11  , 13  , 15  , 5   , 12  , 14  , 8   , 11  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)           ", 21    , $9.75M  
 Jrmy Mnez                    , 16    , 17    , 14    , 10    , 15    , 15    , 14    , 13    , 10  , 12  , 11  , 13  , 10  , 14  , 12  , 14  , 16  , 7   , 15  , 7   , 7   , 9   , 10  , 13  , 17  , 10  , 15  , 12  , 12  , 12  , 5   , 3   , 14  , 11  , 3   , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , AM (RLC)            , 24    , $9.75M  
 Jimmy Briand                    , 17    , 14    , 15    , 11    , 14    , 16    , 15    , 15    , 9   , 14  , 13  , 9   , 13  , 13  , 12  , 17  , 14  , 7   , 16  , 9   , 14  , 16  , 7   , 12  , 14  , 11  , 13  , 8   , 12  , 11  , 5   , 6   , 12  , 13  , 4   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST          ", 25    , $9.5M   
