Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Wesley Sneijder              , 14    , 16    , 12    , 6     , 14    , 12    , 17    , 11    , 15  , 16  , 13  , 13  , 14  , 19  , 16  , 18  , 17  , 14  , 14  , 13  , 16  , 15  , 16  , 16  , 14  , 12  , 17  , 18  , 7   , 18  , 5   , 8   , 18  , 13  , 11  , 17  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , M/AM (C)               , 27    , $46M    
 Pato                         , 17    , 16    , 13    , 9     , 12    , 18    , 13    , 11    , 13  , 14  , 11  , 15  , 12  , 14  , 13  , 15  , 16  , 11  , 17  , 5   , 10  , 12  , 5   , 11  , 17  , 16  , 16  , 12  , 13  , 14  , 7   , 3   , 13  , 14  , 4   , 16  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 21    , $40.5M  
 J£lio Csar                  , 10    , 16    , 13    , 14    , 16    , 10    , 17    , 13    , 10  , 16  , 14  , 12  , 14  , 12  , 13  , 14  , 8   , 11  , 3   , 17  , 13  , 15  , -   , -   , -   , -   , 10  , 1   , -   , -   , -   , -   , -   , 1   , -   , 10  , 17   , 17   , 14   , 15   , 16   , 14   , 16   , 18   , 10   , 10   , 14   , GK                     , 31    , $37M    
 Robinho                      , 18    , 20    , 10    , 6     , 16    , 16    , 14    , 7     , 9   , 13  , 7   , 11  , 10  , 14  , 12  , 13  , 18  , 9   , 18  , 5   , 10  , 13  , 12  , 14  , 19  , 13  , 19  , 8   , 7   , 11  , 5   , 6   , 14  , 13  , 5   , 19  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (LC), ST            ", 27    , $32.5M  
 Zlatan Ibrahimovic           , 12    , 13    , 19    , 16    , 17    , 15    , 15    , 18    , 16  , 15  , 15  , 13  , 8   , 16  , 14  , 7   , 19  , 17  , 18  , 6   , 5   , 10  , 6   , 14  , 16  , 18  , 17  , 14  , 14  , 16  , 16  , 4   , 17  , 18  , 6   , 19  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                     , 29    , $30M    
 Maicon                       , 16    , 14    , 17    , 12    , 14    , 17    , 17    , 18    , 17  , 15  , 16  , 13  , 12  , 13  , 13  , 17  , 14  , 13  , 18  , 13  , 13  , 15  , 12  , 17  , 15  , 12  , 16  , 9   , 12  , 15  , 16  , 12  , 15  , 8   , 14  , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D/WB (R)               , 29    , $24.5M  
 Gianluigi Buffon             , 13    , 14    , 9     , 14    , 12    , 9     , 10    , 10    , 9   , 14  , 12  , 16  , 13  , 8   , 15  , 17  , 1   , 15  , 1   , 17  , 9   , 14  , -   , -   , -   , -   , 9   , 1   , -   , -   , -   , -   , -   , 10  , -   , 4   , 17   , 15   , 16   , 16   , 17   , 12   , 18   , 16   , 17   , 10   , 12   , GK                     , 33    , $18.5M  
 Esteban Cambiasso            , 11    , 13    , 15    , 9     , 14    , 12    , 17    , 14    , 15  , 18  , 17  , 16  , 17  , 13  , 15  , 18  , 10  , 18  , 14  , 19  , 20  , 19  , 13  , 9   , 9   , 12  , 11  , 10  , 12  , 12  , 8   , 16  , 14  , 8   , 18  , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)              ", 30    , $18.25M 
 Thiago Silva                 , 16    , 16    , 14    , 12    , 16    , 15    , 15    , 14    , 12  , 17  , 14  , 17  , 15  , 13  , 16  , 17  , 8   , 15  , 13  , 16  , 15  , 14  , 4   , 5   , 10  , 8   , 12  , 12  , 16  , 12  , 14  , 18  , 14  , 14  , 16  , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                  , 26    , $18.25M 
 Edinson Cavani               , 13    , 13    , 14    , 14    , 18    , 17    , 20    , 15    , 11  , 12  , 15  , 15  , 14  , 12  , 15  , 14  , 11  , 15  , 17  , 12  , 14  , 19  , 8   , 8   , 13  , 17  , 15  , 6   , 15  , 15  , 8   , 4   , 15  , 15  , 2   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (R), ST             ", 24    , $18M    
