Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Aer,Cmd,Com,Ecc,Han,Kic,One,Ref,Rus,Pun,Thr,Position,Age,Value
 Angelo Palombo              , 13    , 10    , 16    , 10    , 18    , 13    , 19    , 15    , 19  , 15  , 15  , 12  , 17  , 15  , 14  , 16  , 7   , 17  , 12  , 14  , 16  , 17  , 9   , 8   , 10  , 7   , 18  , 12  , 13  , 15  , 8   , 14  , 16  , 10  , 16  , 15  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," DM, M (C)             ", 29    , $6.75M
 Sergio Romero               , 9     , 13    , 13    , 17    , 16    , 15    , 15    , 14    , 10  , 11  , 15  , 13  , 12  , 12  , 10  , 17  , 15  , 12  , 1   , 15  , 12  , 13  , -   , -   , -   , -   , 5   , 4   , -   , -   , -   , -   , -   , 3   , -   , 9   , 12   , 14   , 16   , 15   , 13   , 14   , 17   , 16   , 16   , 13   , 14   , GK                    , 24    , $4.6M 
 Stefano Guberti             , 14    , 14    , 10    , 9     , 18    , 14    , 14    , 11    , 11  , 10  , 15  , 11  , 10  , 12  , 9   , 14  , 15  , 11  , 14  , 9   , 10  , 11  , 11  , 15  , 15  , 10  , 9   , 9   , 6   , 10  , 6   , 7   , 11  , 9   , 7   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (RL), AM (RLC)      ", 26    , $4.3M 
 Nicola Pozzi                , 13    , 12    , 13    , 12    , 8     , 14    , 15    , 13    , 10  , 12  , 10  , 9   , 13  , 9   , 11  , 15  , 11  , 10  , 14  , 12  , 12  , 9   , 7   , 8   , 12  , 13  , 12  , 10  , 13  , 9   , 8   , 7   , 11  , 13  , 9   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                    , 25    , $4M   
 Rolando Bianchi             , 10    , 12    , 12    , 15    , 13    , 13    , 13    , 15    , 15  , 14  , 12  , 14  , 15  , 11  , 15  , 16  , 8   , 11  , 14  , 10  , 15  , 17  , 4   , 8   , 10  , 14  , 10  , 7   , 16  , 9   , 6   , 5   , 9   , 20  , 7   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                    , 28    , $4M   
 Franco Semioli              , 15    , 14    , 11    , 9     , 14    , 14    , 14    , 13    , 8   , 8   , 12  , 11  , 12  , 12  , 12  , 14  , 13  , 6   , 14  , 7   , 11  , 10  , 11  , 16  , 14  , 10  , 11  , 9   , 9   , 11  , 9   , 7   , 14  , 9   , 9   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," M (R), AM (RL)        ", 31    , $3.3M 
 Pietro Accardi              , 13    , 15    , 10    , 13    , 19    , 15    , 13    , 15    , 18  , 15  , 16  , 8   , 10  , 16  , 8   , 10  , 5   , 13  , 14  , 15  , 10  , 10  , 5   , 7   , 6   , 6   , 4   , 11  , 11  , 6   , 13  , 16  , 12  , 8   , 16  , 10  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (LC)                , 28    , $3.1M 
 Mirko Antenucci             , 15    , 12    , 10    , 8     , 15    , 15    , 13    , 11    , 11  , 13  , 14  , 13  , 12  , 15  , 15  , 15  , 15  , 10  , 14  , 13  , 13  , 10  , 5   , 7   , 13  , 15  , 10  , 7   , 8   , 10  , 3   , 3   , 11  , 15  , 5   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                    , 26    , $3M   
 Daniele Gastaldello         , 12    , 11    , 9     , 13    , 12    , 10    , 14    , 13    , 16  , 13  , 11  , 12  , 14  , 7   , 17  , 16  , 7   , 14  , 10  , 14  , 9   , 11  , 6   , 10  , 7   , 9   , 7   , 4   , 15  , 4   , 9   , 11  , 9   , 6   , 15  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                 , 28    , $2.9M 
 Dario Knezevic              , 10    , 10    , 12    , 11    , 10    , 14    , 13    , 13    , 12  , 13  , 13  , 13  , 13  , 8   , 12  , 15  , 3   , 10  , 8   , 12  , 15  , 13  , 5   , 6   , 7   , 8   , 9   , 6   , 12  , 10  , 10  , 14  , 11  , 6   , 14  , 11  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , D (C)                 , 29    , $2.8M 
 Linus Hallenius             , 14    , 10    , 12    , 12    , 12    , 13    , 13    , 12    , 11  , 13  , 9   , 12  , 13  , 12  , 12  , 14  , 10  , 4   , 14  , 11  , 12  , 12  , 6   , 6   , 13  , 13  , 12  , 9   , 9   , 10  , 5   , 5   , 11  , 8   , 8   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                    , 22    , $2.6M 
 Maikol Negro                , 14    , 13    , 9     , 5     , 18    , 12    , 11    , 7     , 8   , 10  , 9   , 10  , 10  , 10  , 11  , 12  , 14  , 9   , 13  , 8   , 10  , 10  , 9   , 11  , 14  , 12  , 12  , 12  , 5   , 11  , 4   , 3   , 11  , 15  , 7   , 13  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (RL), ST           ", 23    , $2.6M 
 Daniele Cacia               , 15    , 12    , 10    , 13    , 10    , 13    , 12    , 14    , 14  , 12  , 12  , 12  , 10  , 9   , 10  , 12  , 14  , 14  , 11  , 8   , 14  , 12  , 5   , 11  , 13  , 17  , 11  , 7   , 14  , 9   , 4   , 3   , 10  , 14  , 6   , 14  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , ST                    , 27    , $2.5M 
 Daniele Ragatzu             , 16    , 18    , 11    , 6     , 17    , 12    , 13    , 11    , 14  , 12  , 12  , 10  , 10  , 10  , 9   , 10  , 11  , 7   , 16  , 5   , 14  , 14  , 7   , 8   , 14  , 12  , 10  , 6   , 6   , 8   , 8   , 6   , 10  , 11  , 9   , 12  , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    , -    ," AM (LC), ST           ", 19    , $2.5M 
