Name,Acc,Agi,Bal,Jum,Nat,Pac,Sta,Str,Agg,Ant,Bra,Cmp,Cnt,Cre,Dec,Det,Fla,Inf,Off,Pos,Tea,Wor,Cor,Cro,Dri,Fin,Fir,Fre,Hea,Lon,LTh,Mar,Pas,Pen,Tac,Tec,Age,Position,Value,Predicted_value,Difference
 Cidimar                 ,11,12,12,13,14,12,12,11,11,12,11,13,11,10,12,14,11,9,13,5,12,11, 4   , 8   , 11  , 11  ,11,8, 13  , 9   , 4   , 6   , 10  ,12, 6   ,11,26, ST                          ,0.44999999999999996,3.7854648,3.3354647636413577
 Javi ?lamo              ,12,7,15,17,15,11,11,14,6,14,10,10,12,9,14,10,11,10,12,10,12,12, 9   , 9   , 14  , 11  ,12,10, 12  , 7   , 3   , 7   , 12  ,10, 7   ,10,22, ST                  ,0.325,3.3976245,3.072624492645264
 Corey Gameiro         ,12,11,12,13,12,12,6,5,11,7,2,6,6,6,9,7,7,7,11,6,8,9, 5   , 6   , 12  , 11  ,3,8, 12  , 6   , 6   , 3   , 8   ,5, 7   ,4,18, ST                       ,0.21000000000000002,0.1304102,-0.07958980560302736
 ?¤igo D¡az de Cerio     ,12,11,11,10,3,14,10,13,11,14,9,12,13,9,13,16,13,12,16,8,13,14, 5   , 8   , 11  , 15  ,11,6, 13  , 11  , 5   , 5   , 12  ,13, 5   ,14,27, ST                  ,2.4,12.750408,10.35040864944458
 Pablo S nchez           ,12,14,10,7,11,12,11,10,7,12,7,12,11,12,13,16,17,9,15,9,9,10, 8   , 10  , 14  , 13  ,11,8, 9   , 10  , 10  , 5   , 12  ,15, 7   ,15,27," M (R), AM (RLC), ST ",0.8250000000000001,4.4766426,3.651642608642578
 Tom Youngs            ,12,12,12,6,13,12,6,6,4,2,1,7,2,4,4,6,11,4,10,2,14,10, 3   , 4   , 6   , 11  ,5,4, 11  , 4   , 2   , 2   , 8   ,8, 2   ,9,17, ST                       ,0.08,0.11037111,0.030371112823486326
 Augusto D¡az                    ,9,8,16,15,13,10,10,16,6,11,12,9,9,6,9,10,11,6,10,3,7,11, 5   , 5   , 9   , 11  ,9,7, 13  , 9   , 5   , 4   , 7   ,12, 2   ,8,19, ST                  ,0.1,1.2804604,1.1804603576660158
 Marko Arnautovic          ,14,13,18,14,12,17,11,15,14,8,15,6,6,14,7,5,18,4,9,6,3,11, 8   , 15  , 16  , 10  ,18,14, 9   , 12  , 5   , 3   , 13  ,10, 6   ,18,22," AM (R), ST                         ",12.25,31.206894,18.956893920898438
 Jonathan Viera          ,15,16,12,6,10,13,11,6,9,14,10,12,10,16,13,14,17,13,12,6,8,10, 12  , 11  , 16  , 12  ,15,12, 6   , 12  , 5   , 3   , 16  ,10, 6   ,16,21," AM (C), ST          ",2.8000000000000003,41.408123,38.608123970031734
 Francesco Ruopolo           ,13,12,14,13,12,13,14,16,12,5,12,13,9,8,11,17,10,13,15,11,10,14, 7   , 8   , 13  , 14  ,12,9, 14  , 11  , 6   , 4   , 9   ,14, 6   ,13,28, ST                    ,2.1,5.2461076,3.1461075782775882
 Djamel Bakar                    ,15,15,12,5,10,17,13,9,7,12,9,10,11,10,10,14,14,6,14,6,7,14, 8   , 10  , 14  , 8   ,14,10, 7   , 9   , 6   , 2   , 10  ,12, 3   ,15,22, ST                  ,2.5,14.9162245,12.416224479675293
 Dirk Kuyt             ,13,15,16,12,20,12,20,15,12,15,17,16,17,13,15,18,8,17,16,17,18,19, 6   , 12  , 12  , 13  ,13,7, 14  , 6   , 8   , 7   , 13  ,20, 11  ,13,30," M/AM (R), ST             ",11.25,15.155172,3.905172348022461
 Yannis Tafer                    ,16,14,13,9,15,15,16,9,7,12,9,14,12,8,11,13,14,6,13,7,11,13, 5   , 8   , 12  , 12  ,13,8, 8   , 11  , 5   , 3   , 9   ,15, 2   ,13,20, ST                  ,2.5,12.865305,10.365304946899414
 Rafinha                 ,11,9,13,7,12,12,13,13,7,13,11,11,11,12,12,9,14,8,13,11,13,12, 10  , 10  , 13  , 11  ,13,12, 7   , 12  , 7   , 12  , 13  ,10, 9   ,14,18," M/AM (C), ST               ",3.1,6.610687,3.5106867790222167
 Igor Rey                        ,12,11,13,11,14,11,7,12,6,9,7,7,6,9,7,9,14,6,9,6,7,7, 5   , 10  , 10  , 10  ,10,7, 12  , 7   , 4   , 3   , 9   ,10, 3   ,10,18," AM (R), ST          ",0.775,1.7982817,1.0232816696166993
 Ignazio Abate                ,17,17,13,10,12,16,14,12,15,14,14,12,13,10,13,16,7,8,17,13,14,15, 12  , 12  , 16  , 10  ,12,7, 6   , 14  , 1   , 3   , 15  ,15, 4   ,16,29," AM (RLC), ST           ",7.0,24.98487,17.984869956970215
 Fraizer Campbell      ,17,14,15,7,14,17,13,9,12,7,13,13,12,9,10,15,15,4,15,6,15,17, 6   , 9   , 13  , 14  ,12,6, 9   , 9   , 5   , 2   , 11  ,13, 5   ,12,23, ST                       ,5.0,10.988708,5.988707542419434
 Julian Paolo Uccello        ,10,9,6,10,6,9,11,9,6,7,11,7,8,5,6,7,8,6,11,9,7,8, 2   , 6   , 4   , 14  ,6,5, 9   , 11  , 3   , 4   , 6   ,7, 5   ,6,24, ST                    ,0.01,0.2908826,0.2808825874328613
 Lynel Kitambala                 ,12,15,13,9,14,15,15,13,9,12,9,13,11,8,11,14,15,7,15,6,8,11, 6   , 11  , 12  , 13  ,13,8, 11  , 10  , 5   , 3   , 9   ,11, 3   ,13,22, ST                  ,2.3000000000000003,17.795256,15.495255184173583
 Davide Brivio                ,14,11,10,10,12,14,14,12,11,13,10,12,15,10,12,13,11,11,12,14,13,13, 12  , 13  , 13  , 14  ,10,13, 12  , 12  , 7   , 6   , 12  ,12, 8   ,12,31," AM (R), ST             ",2.4,5.393157,2.9931570053100587
 Conor Sammon          ,15,12,11,12,18,14,11,16,12,9,12,8,11,9,13,16,9,7,11,11,14,15, 9   , 8   , 11  , 15  ,12,6, 10  , 9   , 9   , 9   , 10  ,10, 9   ,12,24, ST                       ,0.95,5.0980926,4.148092555999757
 Selim Gndz            ,11,10,9,4,13,11,6,8,11,6,5,8,4,5,6,10,10,1,9,3,12,10, 8   , 7   , 10  , 12  ,12,5, 12  , 2   , 2   , 4   , 8   ,3, 5   ,11,17, ST                          ,0.028,0.6789708,0.6509708137512207
 Juan Dom¡nguez          ,12,12,11,9,13,13,12,10,12,11,11,10,10,11,10,15,14,10,13,8,11,11, 8   , 11  , 12  , 13  ,10,7, 10  , 13  , 7   , 5   , 11  ,11, 7   ,12,27," AM (C), ST          ",0.2,4.482534,4.282533931732178
 Andrea Sala                  ,7,12,14,14,9,10,4,4,7,6,9,6,10,3,11,8,3,2,3,8,2,3, 6   , 2   , 9   , 12  ,10,8, 11  , 6   , 1   , 6   , 7   ,3, 4   ,8,17, ST                     ,0.12,0.22078276,0.10078275680541993
 David McGoldrick     ,11,12,11,13,11,14,10,13,6,9,10,13,9,12,10,13,12,7,12,7,11,10, 5   , 9   , 12  , 11  ,11,5, 11  , 10  , 6   , 6   , 12  ,15, 6   ,13,23," AM (C), ST             ",0.4,5.5418396,5.141839599609375
 Steve Morison         ,13,8,14,14,13,12,17,15,12,13,14,13,13,9,14,11,12,7,14,8,13,14, 5   , 11  , 12  , 14  ,12,4, 14  , 11  , 13  , 5   , 11  ,11, 8   ,10,27, ST                       ,3.4000000000000004,6.9704294,3.570429420471191
 Joshua Murphy         ,12,8,7,8,13,11,6,3,13,6,1,9,3,5,3,6,14,6,4,2,8,8, 6   , 4   , 3   , 5   ,8,4, 4   , 2   , 2   , 3   , 5   ,2, 1   ,7,16, ST                       ,0.011999999999999999,0.042316914,0.03031691360473633
